Plot,X,Y,Coord,Gr Ht,Hit,Spp,Stat,Ht
5,E,5,E5,28.0,2,ERIVAG,D,27.0
5,F,4,F4,35.0,2,MOSSPP,D,34.0
5,B,3,B3,29.5,3,LITTER,D,29.0
5,B,4,B4,36.0,3,MOSSPP,A,31.0
5,C,2,C2,29.0,3,MOSSPP,D,28.0
5,C,3,C3,27.0,3,BETNAN,A,24.0
6,B,2,B2,35.0,1,LITTER,D,34.0
6,B,3,B3,38.0,1,MOSSPP,A,37.0
6,B,4,B4,35.0,1,SALSPP,D,32.0
6,B,5,B5,38.0,1,MOSSPP,A,37.0
6,B,6,B6,40.0,1,MOSSPP,D,37.0
6,B,7,B7,38.0,1,MOSSPP,D,37.0
6,C,2,C2,32.0,1,ERIVAG,D,30.0
6,C,3,C3,28.5,1,ERIVAG,D,28.0
6,C,4,C4,29.5,1,ERIVAG,D,29.0
6,C,5,C5,35.0,1,MOSSPP,D,34.0
6,C,6,C6,36.0,1,MOSSPP,A,34.0
6,C,7,C7,39.0,1,MOSSPP,D,38.0
6,D,2,D2,29.0,1,LITTER,D,28.0
6,D,3,D3,30.0,1,LITTER,D,29.0
6,D,4,D4,29.0,1,VACVIT,D,28.0
6,D,5,D5,35.0,1,MOSSPP,D,34.0
6,D,6,D6,38.0,1,MOSSPP,A,37.0
6,D,7,D7,39.0,1,MOSSPP,D,38.0
6,D,8,D8,40.0,1,MOSSPP,D,39.0
6,E,2,E2,30.0,1,LEDPAL,D,27.0
6,E,3,E3,28.5,1,LITTER,D,28.0
6,E,4,E4,30.0,1,VACVIT,D,28.0
6,E,5,E5,37.0,1,LICHEN,D,34.0
6,E,6,E6,38.0,1,MOSSPP,A,37.0
6,E,7,E7,42.0,1,LITTER,D,41.0
6,F,2,F2,30.0,1,LITTER,D,29.0
6,F,3,F3,31.0,1,MOSSPP,A,30.0
6,F,4,F4,33.5,1,LEDPAL,D,27.0
6,F,5,F5,38.0,1,LICHEN,A,36.0
6,F,6,F6,38.0,1,MOSSPP,A,37.0
6,F,7,F7,43.0,1,LITTER,D,41.0
6,G,3,G3,31.5,1,MOSSPP,A,31.0
6,G,4,G4,36.0,1,MOSSPP,D,35.0
6,G,5,G5,41.0,1,MOSSPP,D,40.0
6,G,6,G6,42.0,1,LEDPAL,A,38.0
6,B,4,B4,35.0,2,ERIVAG,D,34.0
6,E,2,E2,30.0,2,LITTER,D,29.0
6,E,4,E4,30.0,2,ERIVAG,D,29.0
6,E,5,E5,37.0,2,LICHEN,A,36.0
6,F,4,F4,33.5,2,LEDPAL,D,29.0
6,F,7,F7,43.0,2,MOSSPP,A,42.0
6,G,6,G6,42.0,2,MOSSPP,A,41.0
6,F,4,F4,33.5,3,MOSSPP,A,33.0
7,B,2,B2,39.0,1,MOSSPP,D,38.0
7,B,3,B3,33.5,1,MOSSPP,A,33.0
7,B,4,B4,33.0,1,MOSSPP,D,32.0
7,B,5,B5,33.0,1,BETNAN,D,27.0
7,B,6,B6,36.0,1,MOSSPP,D,34.0
7,B,7,B7,33.0,1,MOSSPP,D,32.0
7,C,2,C2,38.0,1,MOSSPP,D,37.0
7,C,3,C3,35.0,1,MOSSPP,A,34.0
